Kd,SSA,C%,H/C,O/C,E,S,A,B,V,log(Kd)
19384.61538,0.66,0.857142857,0.166666667,4.17E-07,1.5,1.06,0,0.25,1.3565,4.287457188
6806.10687,5.791,0.857142857,0.166666667,4.17E-07,1.5,1.06,0,0.25,1.3565,3.832898764
3833.333333,0.248,0.857142857,0.166666667,4.17E-07,1.5,1.06,0,0.25,1.3565,3.583576586
5276.595745,0.164,0.625,0.066666667,0.533333333,1.5,1.06,0,0.25,1.3565,3.722353823
627.2727273,0.094,0.5,0.111111111,0.888888889,1.5,1.06,0,0.25,1.3565,2.797456406
19384.61538,2.088,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,4.287457188
36216.21622,5.791,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,4.558903074
12142.85714,0.248,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,4.084320886
8223.938224,0.164,0.625,0.066666667,0.533333333,2.38,1.55,0,0.24,1.5846,3.915079839
5345.454545,0.15,0.857142857,0.166666667,2.78E-07,2.38,1.55,0,0.24,1.5846,3.727984641
692.3076923,0.094,0.5,0.111111111,0.888888889,2.38,1.55,0,0.24,1.5846,2.840299157
74000,2.088,0.857142857,0.166666667,4.17E-07,2.81,1.71,0,0.28,1.5846,4.86923172
49636.36364,0.66,0.857142857,0.166666667,4.17E-07,2.81,1.71,0,0.28,1.5846,4.695799958
125333.3333,5.791,0.857142857,0.166666667,4.17E-07,2.81,1.71,0,0.28,1.5846,5.09806659
17032.25806,0.248,0.857142857,0.166666667,4.17E-07,2.81,1.71,0,0.28,1.5846,4.231272229
68250,0.164,0.625,0.066666667,0.533333333,2.81,1.71,0,0.28,1.5846,4.834102656
6176.470588,0.15,0.857142857,0.166666667,2.78E-07,2.81,1.71,0,0.28,1.5846,3.790740378
562.3413252,0.0321,0.637168142,0.152777778,0.222222222,1.59,0.92,0,1.01,2.1503,2.75
